Date,close_week_average
8/24/2022,4132.854
8/23/2022,4132.854
8/22/2022,4132.854
8/19/2022,4277.72
8/18/2022,4277.72
8/17/2022,4277.72
8/16/2022,4277.72
8/15/2022,4277.72
8/12/2022,4192.038
8/11/2022,4192.038
8/10/2022,4192.038
8/9/2022,4192.038
8/8/2022,4192.038
8/5/2022,4132.424
8/4/2022,4132.424
8/3/2022,4132.424
8/2/2022,4132.424
8/1/2022,4132.424
7/29/2022,4022.844
7/28/2022,4022.844
7/27/2022,4022.844
7/26/2022,4022.844
7/25/2022,4022.844
7/22/2022,3937.604
7/21/2022,3937.604
7/20/2022,3937.604
7/19/2022,3937.604
7/18/2022,3937.604
7/15/2022,3825.71
7/14/2022,3825.71
7/13/2022,3825.71
7/12/2022,3825.71
7/11/2022,3825.71
7/8/2022,3869.6175
7/7/2022,3869.6175
7/6/2022,3869.6175
7/5/2022,3869.6175
7/1/2022,3830.24
6/30/2022,3830.24
6/29/2022,3830.24
6/28/2022,3830.24
6/27/2022,3830.24
6/24/2022,3808.0375
6/23/2022,3808.0375
6/22/2022,3808.0375
6/21/2022,3808.0375
6/17/2022,3723.342
6/16/2022,3723.342
6/15/2022,3723.342
6/14/2022,3723.342
6/13/2022,3723.342
6/10/2022,4063.312
6/9/2022,4063.312
6/8/2022,4063.312
6/7/2022,4063.312
6/6/2022,4063.312
6/3/2022,4129.685
6/2/2022,4129.685
6/1/2022,4129.685
5/31/2022,4129.685
5/27/2022,4022.008
5/26/2022,4022.008
5/25/2022,4022.008
5/24/2022,4022.008
5/23/2022,4022.008
5/20/2022,3964.538
5/19/2022,3964.538
5/18/2022,3964.538
5/17/2022,3964.538
5/16/2022,3964.538
5/13/2022,3976.288
5/12/2022,3976.288
5/11/2022,3976.288
5/10/2022,3976.288
5/9/2022,3976.288
5/6/2022,4180.248
5/5/2022,4180.248
5/4/2022,4180.248
5/3/2022,4180.248
5/2/2022,4180.248
4/29/2022,4214.942
4/28/2022,4214.942
4/27/2022,4214.942
4/26/2022,4214.942
4/25/2022,4214.942
4/22/2022,4395.758
4/21/2022,4395.758
4/20/2022,4395.758
4/19/2022,4395.758
4/18/2022,4395.758
4/14/2022,4412.29
4/13/2022,4412.29
4/12/2022,4412.29
4/11/2022,4412.29
4/8/2022,4515.48
4/7/2022,4515.48
4/6/2022,4515.48
4/5/2022,4515.48
4/4/2022,4515.48
4/1/2022,4577.168
3/31/2022,4577.168
3/30/2022,4577.168
3/29/2022,4577.168
3/28/2022,4577.168
3/25/2022,4498.45
3/24/2022,4498.45
3/23/2022,4498.45
3/22/2022,4498.45
3/21/2022,4498.45
3/18/2022,4333.642
3/17/2022,4333.642
3/16/2022,4333.642
3/15/2022,4333.642
3/14/2022,4333.642
3/11/2022,4222.7
3/10/2022,4222.7
3/9/2022,4222.7
3/8/2022,4222.7
3/7/2022,4222.7
3/4/2022,4351.82
3/3/2022,4351.82
3/2/2022,4351.82
3/1/2022,4351.82
2/28/2022,4351.82
2/25/2022,4300.9025
2/24/2022,4300.9025
2/23/2022,4300.9025
2/22/2022,4300.9025
2/18/2022,4415.376
2/17/2022,4415.376
2/16/2022,4415.376
2/15/2022,4415.376
2/14/2022,4415.376
2/11/2022,4503.062
2/10/2022,4503.062
2/9/2022,4503.062
2/8/2022,4503.062
